_DJI~DJ INDU AVERAGE~Index
AFC~Allmerica Financial Corp~Insurance  (Prop. & Casualty)
AFCI~Advanced Fibre Communications~Communications Equipment 
AFCO~Applied Films Corp~Constr. - Supplies & Fixtures 
AFFX~Affymetrix Inc~Biotechnology & Drugs 
AFG~American Financial Group Inc~Insurance  (Prop. & Casualty)
AFL~AFLAC Inc~Insurance  (Accident & Health)
AFOP~Alliance Fiber Optic Products Inc~Semiconductors 
AFP~United Capital Corp~Communications Equipment 
AFR~American Financial Realty Trust~Real Estate Operations 
AFREZ~America First Real Estate Investment Partners LP~Real Estate Operations 
AG~AGCO Corp~Constr. & Agric. Machinery 
AGCC~Anchor Glass Container Corp~Containers & Packaging 
AGE~A.G. Edwards Inc~Investment Services 
AGEN~Antigenics Inc~Biotechnology & Drugs 
AGH~Atlantis Plastics Inc~Fabricated Plastic & Rubber 
AGI~Alliance Gaming Corp~Casinos & Gaming 
AGII~Argonaut Group Inc~Insurance  (Prop. & Casualty)
AGIL~Agile Software Corp~Software & Programming 
AGIX~AtheroGenics Inc~Biotechnology & Drugs 
AGL~Angelica Corp~Personal Services 
AGM~Federal Agricultural Mortgage Corp~Consumer Financial Services 
AGN~Allergan Inc~Biotechnology & Drugs 
AGNT~Argonaut Technologies Inc~Biotechnology & Drugs 
AGP~AMERIGROUP Corp~Insurance  (Accident & Health)
AGRB~ ~Semiconductors 
AGT~Apollo Gold Corp~Metal Mining 
AGU~Agrium Inc~Chemical Manufacturing 
AGY~Argosy Gaming Co~Casinos & Gaming 
AGYS~Agilysys Inc~Electronic Instruments & Controls 
AH~Armor Holdings Inc~Medical Equipment & Supplies 
AHC~Amerada Hess Corp~Oil & Gas - Integrated 
AHG~Apria Healthcare Group Inc~Healthcare Facilities 
AHH~American Home Mortgage Investment Corp~Consumer Financial Services 
AHI~Allied Holdings Inc~Trucking 
AHL~Aspen Insurance Holdings Ltd~Insurance  (Prop. & Casualty)
AHM~Amersham PLC~Biotechnology & Drugs 
AHN~ATC Healthcare Inc~Healthcare Facilities 
AHO~Koninklijke Ahold NV~Retail  (Grocery)
AHPI~Allied He~Medical Equipment & Supplies 
AHR~Anthracite Capital Inc~Real Estate Operations 
AHS~AMN Healthcare Services Inc~Business Services 
AHT~Ashford Hospitality Trust Inc~Real Estate Operations 
AIA~American Insured Mortgage Investors AIM Series 84~Misc. Financial Services 
AIB~Allied Irish Banks PLC~Regional Banks 
AICX~Applied Imaging Corp~Medical Equipment & Supplies 
AIG~American International Group Inc~Insurance  (Prop. & Casualty)
AIH~Ablest Inc~Business Services 
AII~American Insured Mortgage Investors Fund~Misc. Financial Services 
AIJ~American Insured Mortgage Investors AIM Series 86~Misc. Financial Services 
AIK~American Insured Mortgage Investors LP AIM Series 89~Misc. Financial Services 
AIM~Aerosonic Corp~Aerospace & Defense 
AIMM~AutoImmune Inc~Biotechnology & Drugs 
AIN~Albany International Corp~Paper & Paper Products 
AINN~Applied Innovation Inc~Computer Networks 
AIP~American Israeli Paper Mills Ltd~Paper & Paper Products 
AIQ~Alliance Imaging, Inc~Healthcare Facilities 
AIR~AAR Corp~Aerospace & Defense 
AIRM~Air Methods Corp~Misc. Transportation 
AIRN~Airspan Networks Inc~Communications Equipment 
AIRT~Air T Inc~Air Courier 
AIT~Applied Industrial Technologies Inc~Auto & Truck Parts 
AIV~Apartment Investment and Management Co~Real Estate Operations 
AIX~Access Integrated Technologies Inc~Business Services 
AJG~Arthur J. Gallagher & Co~Insurance  (Miscellaneous)
AKAM~Akamai Technologies Inc~Computer Services 
AKC~Access Pharmaceuticals Inc~Biotechnology & Drugs 
AKLM~Acclaim Entertainment Inc~Software & Programming 
AKOA~ ~Beverages  (Non-Alcoholic)
AKR~Acadia Realty Trust~Real Estate Operations 
AKS~AK Steel Holding Corp~Iron & Steel 
AKSY~Aksys Ltd~Medical Equipment & Supplies 
AKZOY~Akzo Nobel NV~Chemical Manufacturing 
AL~Alcan Inc~Metal Mining 
ALA~Alcatel~Communications Equipment 
ALAB~Alabama National Bancorporation~Regional Banks 
ALAN~Alanco Technologies Inc~Security Systems & Services 
ALB~Albemarle Corp~Chemicals - Plastics & Rubber 
ALBY~Community Capital Bancshares~Regional Banks 
ALCD~Alcide Corp~Chemical Manufacturing 
ALCO~Alico Inc~Crops 
ALD~Allied Capital Corp~Misc. Financial Services 
ALDA~Aldila Inc~Recreational Products 
ALDN~Aladdin Knowledge Systems Ltd~Software & Programming 
ALE~Allete Inc~Conglomerates 
ALEX~Alexander & Baldwin Inc~Water Transportation 
ALFA~Alfa Corp~Insurance  (Prop. & Casualty)
ALFC~Atlantic Liberty Financial Corp~S&Ls/Savings Banks 
ALG~Alamo Group Inc~Constr. & Agric. Machinery 
ALGI~American Locker Group Inc~Constr. - Supplies & Fixtures 
ALGN~Align Technology Inc~Medical Equipment & Supplies 
ALK~Alaska Air Group Inc~Airline 
ALKS~Alkermes Inc~Biotechnology & Drugs 
ALL~Allstate Corp~Insurance  (Prop. & Casualty)
ALLB~Greater Delaware Valley Savings Bank~S&Ls/Savings Banks 
ALLE~Allegiant Bancorp Inc~Regional Banks 
ALLSB~Allstream Inc~Communications Services 
ALNC~Alliance Financial Corp~Regional Banks 
ALO~Alpharma Inc~Biotechnology & Drugs 
ALOG~Analogic Corp~Scientific & Technical Instr. 
ALOT~Astro-Med Inc~Computer Peripherals 
ALOY~Alloy Inc~Retail  (Catalog & Mail Order)
ALS~Alstom~Conglomerates 
ALSC~Alliance Semiconductor Corp~Semiconductors 
ALSK~Alaska Communications Systems Group Inc~Communications Services 
ALT~Alteon Inc~Biotechnology & Drugs 
ALTH~Allos Therapeutics Inc~Biotechnology & Drugs 
ALTI~Altair Nanotechnologies Inc~Chemical Manufacturing 
ALTR~Altera Corp~Semiconductors 
ALV~Autoliv Inc~Auto & Truck Parts 
ALVR~Alvarion Ltd~Computer Services 
ALX~Alexander's Inc~Real Estate Operations 
ALXN~Alexion Pharmaceuticals Inc~Biotechnology & Drugs 
AM~American Greetings Corp~Printing & Publishing 
AMAC~American Medical Alert Corp~Medical Equipment & Supplies 
AMAT~Applied Materials Inc~Semiconductors 
AMB~AMB Property Corp~Real Estate Operations 
AMBK~American Bank Inc (Allentown, PA)~Regional Banks 
AMC~American Mortgage Acceptance Co~Real Estate Operations 
AMCC~Applied Micro Circuits Corporation~Semiconductors 
AMCE~American Claims Evaluation Inc~Schools 
AMCR~Amcor Ltd~Containers & Packaging 
AMD~Advanced Micro Devices Inc~Semiconductors 
AME~Ametek Inc~Electronic Instruments & Controls 
AMED~Amedisys Inc~Healthcare Facilities 
AMEN~AMEN Properties Inc~Computer Services 
AMEV~Applied Molecular Evolution Inc (USA)~Biotechnology & Drugs 
AMFC~AMB Financial Corp~S&Ls/Savings Banks 
AMFI~Amcore Financial Inc~Regional Banks 
AMG~Affiliated Managers Group, Inc~Investment Services 
AMGN~Amgen Inc~Biotechnology & Drugs 
AMH~AmerUs Group Co~Insurance  (Life)
AMHC~American Healthways Inc~Healthcare Facilities 
AMI~Alaris Med System~Medical Equipment & Supplies 
AMIC~American Independence Corp~Insurance  (Miscellaneous)
AMIE~Ambassadors International Inc~Personal Services 
AMIS~AMIS Holdings Inc~Semiconductors 
AMK~American Technical Ceramics Corp~Electronic Instruments & Controls 
AMKR~Amkor Technology Inc~Semiconductors 
AML~Amli Residential Properties Trust~Real Estate Operations 
AMLN~Amylin Pharmaceuticals Inc~Biotechnology & Drugs 
AMM~Advantage Marketing Systems Inc~Personal & Household Products 
AMMD~American Medical Systems Holding Inc~Medical Equipment & Supplies 
AMN~Ameron International Corp~Chemical Manufacturing 
AMNB~American National Bankshares Inc~Regional Banks 
AMOT~Allied Motion Technologies Inc~Scientific & Technical Instr. 
AMPB~American Pacific Bank~Regional Banks 
AMPH~American Physicians Service Group Inc~Business Services 
AMPL~Ampal-American Israel Corp~Misc. Financial Services 
AMR~AMR Corp~Airline 
AMRB~American River Bank Fair Oaks California~Regional Banks 
AMRI~Albany Molecular Research Inc~Biotechnology & Drugs 
AMRN~Amarin Corp Plc~Biotechnology & Drugs 
AMS~American Shared Hospital Services~Healthcare Facilities 
AMSC~American Superconductor Corp~Misc. Fabricated Products 
AMSG~Amsurg Corporation~Healthcare Facilities 
AMSWA~American Software Inc~Software & Programming 
AMSY~American Management Systems Inc~Computer Services 
AMT~American Tower Corp~Communications Services 
AMTA~Amistar Corp~Semiconductors 
AMTC~Ameritrans Capital Corp~Business Services 
AMTD~AmeriTrade Holding Corp~Investment Services 
AMV~Amerivest Properties Inc~Real Estate Operations 
AMWD~American Woodmark Corp~Constr. - Supplies & Fixtures 
AMX~America Movil SA~Communications Services 
AMXC~AMX Corporation~Electronic Instruments & Controls 
AMY~AmREIT~Real Estate Operations 
AMZ~American Medical Security Group, Inc~Insurance  (Accident & Health)
AMZN~Amazon Com Inc~Retail  (Specialty)
AN~Autonation Inc~Retail  (Specialty)
ANAD~Anadigics Inc~Semiconductors 
ANAT~American National Insurance Co~Insurance  (Life)
ANCC~Airnet Communications Corp~Communications Equipment 
AND~Andrea Electronics Corp~Scientific & Technical Instr. 
ANDE~The Andersons Inc~Crops 
ANDR~Andersen Group Inc~Broadcasting & Cable TV 
ANDW~Andrew Corp~Communications Equipment 
ANE~Alliance Bancorp of New England, Inc.~S&Ls/Savings Banks 
ANEN~Anaren Inc~Communications Equipment 
ANF~Abercrombie & Fitch Co~Retail  (Apparel)
ANGN~Angeion Corp~Medical Equipment & Supplies 
ANH~Anworth Mortgage Asset Corp~Real Estate Operations 
ANIK~Anika Therapeutics Inc~Biotechnology & Drugs 
ANK~Atlantic Tele-Network Inc~Communications Services 
ANL~American Land Lease Inc~Real Estate Operations 
ANLT~Analytical Surveys Inc~Business Services 
ANLY~Analysts International Corp~Software & Programming 
ANN~Ann Taylor Stores Corp~Retail  (Apparel)
ANNB~Annapolis Bancorp Inc~Regional Banks 
ANPI~Angiotech Pharmaceuticals Inc~Biotechnology & Drugs 
ANR~Annuity and Life Re (Holdings) Ltd~Insurance  (Life)
ANS~Airnet Systems Inc~Air Courier 
ANSI~Advanced Neuromodulation Systems Inc~Medical Equipment & Supplies 
ANSL~Ansell Ltd~Medical Equipment & Supplies 
ANSR~AnswerThink Inc~Computer Services 
ANSS~Ansys Inc~Software & Programming 
ANST~Ansoft Corp~Software & Programming 
ANT~Anteon International Corp~Computer Services 
ANTP~Phazar Corp~Communications Equipment 
ANZ~Australia and New Zealand Banking Group Ltd~Regional Banks 
AOC~Aon Corp~Insurance  (Miscellaneous)
AOLA~America Online Latin America Inc~Computer Services 
AORGB~Allen Organ Co~Recreational Products 
AOS~A.O. Smith Corp~Electronic Instruments & Controls 
AOT~Apogent Technologies Inc~Medical Equipment & Supplies 
AP~Ampco-Pittsburgh Corp~Misc. Capital Goods 
APA~Apache Corp~Oil & Gas Operations 
APAC~APAC Customer Services inc~Business Services 
APAGF~Apco Argentina Inc~Oil & Gas Operations 
APAT~APA Optics Inc~Scientific & Technical Instr. 
APC~Anadarko Petroleum Corp~Oil & Gas Operations 
APCC~American Power Conversion Corp~Electronic Instruments & Controls 
APCFY~Atlas Pacific Ltd~Fish/Livestock 
APD~Air Products and Chemicals Inc~Chemical Manufacturing 
APFC~American Pacific Corp~Chemical Manufacturing 
APH~Amphenol Corp~Electronic Instruments & Controls 
APHT~Aphton Corp~Biotechnology & Drugs 
API~Advanced Photonix Inc~Semiconductors 
APII~Action Products International Inc~Recreational Products 
APL~Atlas Pipeline Partners~Oil Well Services & Equipment 
APLX~Applix Inc~Software & Programming 
APN~Applica Inc~Appliance & Tool 
APO~American Community Properties Trust~Real Estate Operations 
APOG~Apogee Enterprises Inc~Construction Services 
APOL~Apollo Group Inc~Schools 
APPA~AP Pharma Inc~Biotechnology & Drugs 
APPB~Applebee's International Inc~Restaurants 
APPX~American Pharmaceutical Partners Inc~Biotechnology & Drugs 
APRO~America First Apartment Investors~Real Estate Operations 
APRS~Apropos Technology Inc~Software & Programming 
APSA~Alto Palermo SA~Real Estate Operations 
APSG~Applied Signal Technology Inc~Communications Equipment 
APT~Alpha Pro Tech~Apparel/Accessories 
APTI~Advanced Power Technology Inc~Semiconductors 
APU~Amerigas Partners LP~Oil & Gas Operations 
AQA~AquaCell Technologies Inc~Beverages  (Non-Alcoholic)
AQNT~aQuantive Inc~Advertising 
AQQ~American Spectrum Realty Inc~Real Estate Operations 
ARA~Aracruz Celulose SA~Paper & Paper Products 
ARB~Arbitron Inc~Computer Services 
ARBA~Ariba Inc~Computer Services 
ARCAF~Arcadis NV~Construction Services 
ARD~Arena Resources Inc~Oil & Gas Operations 
ARDI~At Road Inc~Computer Services 
ARDM~Aradigm Corp~Medical Equipment & Supplies 
ARDNA~Arden Group Inc~Retail  (Grocery)
ARE~Alexandria Real Estate Equities, Inc~Real Estate Operations 
ARG~Airgas Inc~Chemical Manufacturing 
ARGN~Amerigon Inc~Auto & Truck Manufacturers 
ARI~Arden Realty Group Inc~Real Estate Operations 
ARIA~Ariad Pharmaceuticals Inc~Biotechnology & Drugs 
ARJ~Arch Chemicals Inc~Chemical Manufacturing 
ARKR~Ark Restaurants Corp~Restaurants 
ARL~American Realty Investors Inc~Real Estate Operations 
ARLC~Arel Communications & Software Ltd~Software & Programming 
ARLP~Alliance Resource Partners LP~Coal 
ARM~ArvinMeritor Inc~Auto & Truck Parts 
ARMF~Armanino Foods of Distinction Inc~Food Processing 
ARMHY~ARM Holdings PLC~Semiconductors 
ARNA~Arena Pharmaceutical Inc~Biotechnology & Drugs 
ARO~Aeropostale Inc~Retail  (Apparel)
AROW~Arrow Financial Corp~Regional Banks 
ARQL~ArQule Inc~Biotechnology & Drugs 
ARRO~Arrow International Inc~Medical Equipment & Supplies 
ARRS~Arris Group Inc~Communications Equipment 
ARRY~Array BioPharma Inc~Biotechnology & Drugs 
ARTC~Arthrocare Corp~Medical Equipment & Supplies 
ARTG~Art Technology Group Inc~Software & Programming 
ARTI~Artisan Components, Inc~Semiconductors 
ARTL~Aristotle Corp~Medical Equipment & Supplies 
ARTNA~Artesian Resources Corp~Water Utilities 
ARTW~Art's-Way Manufacturing Co Inc~Constr. & Agric. Machinery 
ARTX~Arotech Corp~Electronic Instruments & Controls 
ARW~Arrow Electronics Inc~Electronic Instruments & Controls 
ARWM~Arrow-Magnolia International, Inc~Chemical Manufacturing 
ARXX~Aeroflex Inc~Semiconductors 
ASA~ASA Ltd~Misc. Financial Services 
ASAA~ASA International Ltd~Computer Networks 
ASBC~Associated Banc-Corp~Regional Banks 
ASBI~Ameriana Bancorp~S&Ls/Savings Banks 
ASBP~ASB Financial Corp~S&Ls/Savings Banks 
ASCA~Ameristar Casinos Inc~Casinos & Gaming 
ASCL~Ascential Software Corp~Software & Programming 
ASD~American Standard Company Inc~Misc. Capital Goods 
ASE~American Science & Engineering Inc~Scientific & Technical Instr. 
ASF~Administaff Inc~Business Services 
ASFI~Asta Funding Inc~Consumer Financial Services 
ASGN~On Assignment, Inc~Business Services 
ASGR~America Service Group Inc~Healthcare Facilities 
ASH~Ashland Inc~Construction Services 
ASHW~Ashworth Inc~Apparel/Accessories 
ASI~American Safety Insurance Holdings Ltd~Insurance  (Prop. & Casualty)
ASIA~AsiaInfo Holdings Inc~Computer Networks 
ASKJ~Ask Jeeves Inc~Business Services 
ASL~Ashanti Goldfields Company Ltd~Gold & Silver 
ASMI~ASM International NV~Semiconductors 
ASML~ASML Holding NV~Semiconductors 
ASN~Archstone-Smith Trust~Real Estate Operations 
ASO~Amsouth Bancorp~Regional Banks 
ASPM~Aspect Medical Systems Inc~Medical Equipment & Supplies 
ASPT~Aspect Communications Corp~Software & Programming 
ASR~Grupo Aeroportuario del Sureste SA~Misc. Transportation 
ASRV~Ameriserv Financial Inc~Regional Banks 
ASTE~Astec Industries Inc~Misc. Capital Goods 
ASTM~Aastrom Biosciences Inc~Biotechnology & Drugs 
ASTSF~ASE Test Inc~Semiconductors 
ASTT~ASAT Holdings Ltd~Semiconductors 
ASV~AG Services Of America Inc~Retail  (Home Improvement)
ASVI~ASV Inc~Constr. & Agric. Machinery 
ASX~Advanced Semiconductor Engineering Inc~Semiconductors 
ASY~Elecsys Corp~Electronic Instruments & Controls 
ASYS~Amtech Systems Inc~Semiconductors 
ASYT~Asyst Technologies Inc~Semiconductors 
AT~Alltel Corp~Communications Services 
ATA~Apogee Technology Inc~Audio & Video Equipment 
ATAC~Aftermarket Technology Corp~Auto & Truck Parts 
ATAH~ATA Holdings Corporation~Airline 
ATAR~Atari Inc~Software & Programming 
ATAXZ~America First Tax Exempt Investors L.P.~Consumer Financial Services 
ATBC~Atlantic BancGroup Inc~Regional Banks 
ATC~Cycle Country Accessories Corp~Misc. Capital Goods 
ATCO~American Technology Corp~Communications Equipment 
ATE~Advantest Corp~Semiconductors 
ATEA~Astea International Inc~Software & Programming 
ATF~Equity Income Fund First Exchange~Misc. Financial Services 
ATG~AGL Resources Inc~Natural Gas Utilities 
ATGI~Alpha Technologies Group Inc~Electronic Instruments & Controls 
ATGN~AltiGen Communications Inc~Communications Equipment 
ATH~Anthem Inc~Insurance  (Accident & Health)
ATI~Allegheny Technologies Inc~Iron & Steel 
ATK~Alliant Techsystems Inc~Aerospace & Defense 
ATMI~ATMI Inc~Semiconductors 
ATML~Atmel Corp~Semiconductors 
ATN~Action Performance Companies Inc~Recreational Products 
ATO~Atmos Energy Corp~Natural Gas Utilities 
ATPG~ATP Oil & Gas Corporation~Oil & Gas Operations 
ATR~AptarGroup Inc~Containers & Packaging 
ATRI~Atrion Corp~Medical Equipment & Supplies 
ATRM~Aetrium Inc~Electronic Instruments & Controls 
ATRO~Astronics Corp~Aerospace & Defense 
ATRS~Altiris Inc~Software & Programming 
ATRX~Atrix Laboratories Inc~Biotechnology & Drugs 
ATS~APT Satellite Holdings Ltd~Communications Equipment 
ATSI~ATS Medical Inc~Medical Equipment & Supplies 
ATSN~Artesyn Technologies Inc~Electronic Instruments & Controls 
ATTU~Attunity Ltd~Software & Programming 
ATU~Actuant Corp~Misc. Capital Goods 
ATVI~Activision Inc~Software & Programming 
ATW~Atwood Oceanics Inc~Oil Well Services & Equipment 
ATX~A.T. Cross Co~Office Supplies 
ATYT~ATI Technologies Inc~Computer Peripherals 
AU~AngloGold Ltd~Gold & Silver 
AUBN~Auburn National Bancorp~Regional Banks 
AUDC~AudioCodes Ltd~Communications Equipment 
AUGT~August Technology Corp~Semiconductors 
AULT~Ault Inc~Electronic Instruments & Controls 
AUO~AU Optronics Corp~Electronic Instruments & Controls 
AUTN~Autonomy Corporation~Computer Services 
AV~Avaya Inc~Communications Equipment 
AVA~Avista Corp~Electric Utilities 
AVAN~Avant Immunotherapeutics Inc~Biotechnology & Drugs 
AVB~AvalonBay Communities, Inc~Real Estate Operations 
AVCI~Avici Systems Inc~Communications Equipment 
AVCS~American Vantage Co~Business Services 
AVCT~Avocent Corp~Computer Peripherals 
AVD~American Vanguard Corp~Chemical Manufacturing 
AVE~Aventis SA~Major Drugs 
AVGN~Avigen Inc~Biotechnology & Drugs 
AVID~Avid Technology Inc~Computer Peripherals 
AVII~AVI BioPharma Inc~Biotechnology & Drugs 
AVL~Aviall Inc~Aerospace & Defense 
AVM~Advanced Magnetics Inc~Biotechnology & Drugs 
AVN~AVANIR Pharmaceuticals~Biotechnology & Drugs 
AVNC~Advancis Pharmaceutical Corp~Biotechnology & Drugs 
AVNX~Avanex Corp~Communications Equipment 
AVO~Advanced Medical Optics Inc~Medical Equipment & Supplies 
AVP~Avon Products Inc~Personal & Household Products 
AVR~Avitar Inc~Medical Equipment & Supplies 
AVSR~Avistar Communications Corp~Computer Peripherals 
AVT~Avnet Inc~Electronic Instruments & Controls 
AVTR~Avatar Holdings Inc~Real Estate Operations 
AVX~AVX Corp~Electronic Instruments & Controls 
AVY~Avery Dennison Corp~Containers & Packaging 
AVZ~Amvescap PLC~Investment Services 
